name,description,price,category_id,vendor_id,id,thumbnail_uri,shipping_price,old_price
ASUS GeForce TUF RTX 3090 Gaming,"Die TUF Gaming GeForce RTX 3090 wurde von Grund auf neu konstruiert, um eine robustere Performance und zuverlässigere Kühlung zu liefern. Ein neues Vollmetallgehäuse beherbergt drei leistungsstarke Axial-Tech-Lüfter, die mit langlebigen Doppelkugellagern ausgestattet sind. Die Drehrichtung der Lüfter wurde optimiert, um Verwirbelungen zu reduzieren und ein Stopp-Modus bringt alle drei Lüfter bei niedrigen Temperaturen zum Stillstand. Unter dem Gehäuse sorgen unabhängige Kühlkörper für die GPU und den Speicher dafür, dass die Temperaturen jederzeit unter Kontrolle bleiben. Zusätzliche Features wie TUF-Komponenten, die Auto-Extreme-Technologie, eine neue GPU-Halterung und eine Backplate-Entlüftung machen die TUF zu einem echten Kraftpaket. Für PC-Schrauber, die auf der Suche nach einem neuen ""treuen Begleiter"" sind, ist diese Karte die richtige Wahl.",1192,4,1,1,7253f3ec-27a4-42aa-84e3-2c30be1b953c.png,0,
Gigabyte GeForce RTX 3070 Gaming OC 8G LHR,"The Gigabyte GeForce RTX 3070 Gaming OC 8G LHR is equipped with a powerful graphics processor and fast GDDR6 graphics memory. This model offers increased clock frequencies ex works for enhanced performance. The gaming graphics card is suitable for demanding gamers who value high graphics quality. Compared to the RTX-2070 series, the computing speed of the rasterisation optics and the ray tracing performance have been significantly increased. In addition, the graphics accelerators of the Ampere generation support PCI Express 4.0. With a GeForce RTX 3070, high frame rates and smooth gaming in WQHD 1440p are possible.",607,4,3,2,32cf3033-51b7-4b4e-96ae-0740f0cee966.png,30,
ASUS GeForce ROG STRIX RTX 3070 Ti GAMING,"ROG Strix GeForce RTX 3070 Ti OC Edition 8GB GDDR6 buffered-up design with outstanding thermal performance. 2nd generation RT cores: Experience twice the throughput of 1st generation RT cores, plus simultaneous RT and shading for state-of-the-art ray tracing performance. 3rd generation Tensor cores: Achieve up to double the throughput with structural sparsity and advanced AI algorithms like DLSS. These cores provide a massive boost in gaming performance and AI capabilities. The Axial-Tech fan design has been modernly tuned with a reversed central fan direction for less turbulence.",729,4,1,3,2dbd340c-e840-4a51-9ea5-64eaa0b88beb.png,15,829
ASUS TUF Gaming GeForce RTX 4080 OC Edition,"GeForce RTX 4080 16GB.",1528,4,1,4,27f4ddb2-a2c8-4eaf-be5a-5ac4db246316.png,0,1799
Gigabyte GeForce RTX 3060 Gaming OC LHR,"The Gigabyte GeForce RTX 3060 Gaming OC 12G LHR is equipped with a powerful graphics processor and fast GDDR6 graphics memory. This model offers factory-increased clock speeds for enhanced performance. The GeForce RTX 3060 is nVidia's spiritual successor to the GTX 1060 and offers an entry into the world of ray tracing. In addition, the Ampere generation graphics accelerators support PCI Express 4.0. With a GeForce RTX 3060, high frame rates at medium details and smooth gaming in full HD 1080p are possible.",415,4,3,5,5149b331-3c4b-4c80-b49b-3b72880e3027.png,0,
AMD Radeon RX 6950 XT,"The AMD Radeon RX 6950 XT in reference design is a particularly powerful high-end gaming graphics card from the Radeon 6000 series. The AMD Radeon RX 6950 XT is based on the Navi-21 graphics chip, which is based on the RDNA-2 GPU architecture. It is the first AMD graphics card to support ray tracing for realistic-looking light propagation in games. It also supports DirectX 12 Ultimate and various image enhancement options with AMD FidelityFX. This enables the AMD Radeon RX 6950 XT in the reference design to display PC games in impressive graphic splendour.",971,4,4,6,94f3a66f-b2f1-48d7-b20e-fbb51165f18c.png,30,999
ASUS Radeon RX 6600 Dual,"The ASUS Radeon RX 6600 Dual 8G is a gaming graphics card from the Radeon 6000 series. The AMD Radeon RX 6600 is based on the Navi-23 graphics chip, which is based on the RDNA-2 GPU architecture. As one of the first AMD GPUs, it offers ray tracing for realistic-looking light propagation in games. It also supports DirectX 12 Ultimate and various image enhancement options with AMD FidelityFX. This enables the ASUS Radeon RX 6600 Dual 8G to smoothly display PC games in Full HD.",286,4,1,7,6ad67755-2cff-4deb-9ba0-b2834cc7f979.png,0,
Gigabyte GeForce RTX 3060 EAGLE OC LHR,"The GIGABYTE GeForce RTX 3060 Eagle OC 12G LHR is equipped with a powerful graphics processor and fast GDDR6 graphics memory. This model offers factory-increased clock speeds for enhanced performance. The GeForce RTX 3060 is NVIDIA's spiritual successor to the GTX 1060 and offers an entry into the world of ray tracing. In addition, the Ampere generation graphics accelerators support PCI Express 4.0. With a GeForce RTX 3060, high frame rates at medium details and smooth gaming in full HD 1080p are possible.",391,4,3,8,fed1c2ac-c441-4e22-a429-2578067158b1.png,0,
ASUS Radeon TUF RX 6800 O16G GAMING,"The TUF Radeon RX 6800 GAMING is a stubborn beast with a rugged metal housing, highly efficient cooling and components that offer improved durability. Inside an all-metal cover are three powerful axial-tech fans with two ball bearings and additional blades. Beneath the exoskeleton, a thick heat sink keeps thermal under tight control, and TUF components selected for maximum durability and performance keep the card in front of the pack. You asked for a mean machine... this one is ready to go.",485,4,1,9,62c6697b-5944-47f5-b40e-699b9746bef5.png,0,
MSI GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR,"Ventus offers a performance-driven design that includes the essentials to handle any task. A powerful triple fan arrangement in a sturdy industrial design ensures that this good-looking graphics card fits into any enclosure.",629,4,2,10,a29555d4-e984-42cf-bab2-39e10a2ac702.png,0,
ASUS GeForce TUF RTX 3060 O12G-V2-GAMING LHR,"ASUS TUF Gaming GeForce RTX™ 3060 V2 OC Edition 12 GB GDDR6 - enhanced design with record-breaking cooling performance.

Axial-Tech Upgrades
TUF Gaming cards use our proven Axial-Tech fan design, with three fans operating in parallel to meet the thermal requirements of NVIDIA's new high-performance design. The fans use double ball bearings to ensure consistent performance and increased durability compared to sleeve bearings and other bearing types.

New directions
The two side fans rotate counterclockwise to reduce air turbulence. To avoid unnecessary noise, a stop mode turns off all fans when the GPU temperature drops below 50 degrees and low power is consumed.

MaxContact
To conduct the heat from the chip to the heatsinks, MaxContact technology is used. Here, the surface of the cooler is polished to achieve a..",470,4,1,11,51740478-3fcc-43f2-b0ef-845560eff315.png,475,
