name,description,id,address_id
Asus,"ASUS is passionate about technology and driven by innovation. We dream, we dare and we strive to create an effortless and joyful digital life for everyone. We're always in search of incredible ideas and experiences, and we aspire to deliver the incredible in everything we do.",1,1
MSI,"MSI is a world leader in gaming, content creation, business & productivity and AIoT solutions. Bolstered by its cutting-edge R&D capabilities and customer-driven innovation, MSI has a wide-ranging global presence spanning over 120 countries. Its comprehensive lineup of laptops, graphics cards, monitors, motherboards, desktops, peripherals, servers, IPCs, robotic appliances, and vehicle infotainment and telematics systems are globally acclaimed. Committed to advancing user experiences through the finest product quality, intuitive user interface and design aesthetics, MSI is a leading brand that shapes the future of technology.",2,2
Gigabyte,"GIGABYTE offers a comprehensive product lineup that aims to “Upgrade Your Life.” With expertise encompassing consumer, business, gaming, and cloud systems, GIGABYTE established its reputation as a leader in the industry with award-winning products including motherboards, graphics cards, laptops, mini PCs, monitors, and other PC components and accessories.

As a perennial developer in PC and server hardware and solutions, GIGABYTE is dedicated to foster marvelous user experiences for content creators and gamers, allowing their imagination to manifest a better life; as a server hardware and solution provider, GIGABYTE is poised to extend our scope in business servers and cloud systems with hardware and software solutions that integrate AI and AloT applications to allow customers to capture, analyze, and transform digital information into economic data, accelerating businesses' success from edge to cloud.",3,3
AMD,"Advanced Micro Devices (AMD) is a semiconductor company, known for designing and developing computer processors and graphics technologies. Founded in 1969, the company is based in Santa Clara, Calif., with a significant operation in Austin, Texas.",4,3
Intel,"Founded in 1968, Intel’s technology has been at the heart of computing breakthroughs. We are an industry leader, creating world-changing technology that enables global progress and enriches lives. We stand at the brink of several technology inflections—artificial intelligence (AI), 5G network transformation, and the rise of the intelligent edge—that together will shape the future of technology. Silicon and software drive these inflections, and Intel is at the heart of it all.",5,3
WD,"Whether in your pocket, home, car, or the cloud, it’s likely Western Digital is with you every step of the way.",6,3
Samsung,"Samsung Electronics constantly reinvents the future. We explore the unknown to discover technologies to help people all over the world lead happier, healthier lives.",7,3
Seagate,"These three simple yet powerful words define our values here at Seagate. They inspire the level of excellence we work toward each and every day for our customers, business partners, shareholders, communities, and for each other. They are the means by which we measure today’s aspirations. They lay the groundwork for tomorrow’s achievements. Together, they make the difference. And together, so do we.",8,3
Netgear,"At NETGEAR, we turn ideas into innovative networking products that connect people, power businesses, and advance the way we live. Easy to use. Powerful. Smart. And designed just for you.",9,3
Ubiquiti,"We develop high-performance networking product platforms. Ubiquiti-engineered technology innovations provide superior performance, clever mechanical design, and ease of use.",10,3
Apple,"Technology is most powerful when everyone can make their mark.",11,3
Sonos,"Reinventing home audio for today and tomorrow.",12,3
